lemma	ipm	r	d	doc	dicts
восполнять	1.9	71	89	159	1
восполняться	0.4	26	82	34	0
воспользоваться	40.3	100	96	2165	2
воспрепятствовать	1.9	74	89	156	1
воспретить	1.2	53	87	87	1
воспрещаться	0.7	42	86	52	0
воспринимать	43.4	100	94	1970	0
восприниматься	24.1	100	92	1345	0
воспринять	24.4	100	93	1326	0
воспроизвести	6.8	95	92	439	0
воспроизводить	7.7	97	90	502	0
воспроизводиться	2.6	64	84	170	0
воспротивиться	1.9	74	91	144	0
воспрянуть	1.5	69	90	125	0
воспрять	1.0	58	88	78	0
воспылать	0.8	46	85	57	0
восседать	4.9	85	91	300	0
воссиять	1.2	39	63	90	0
восславить	0.4	30	83	33	0
воссоединиться	0.8	50	88	70	0
воссоздавать	1.8	63	88	139	0
воссоздаваться	0.5	27	77	35	0
воссоздать	5.1	93	92	377	0
восставать	2.8	78	85	192	2
восстанавливать	12.8	100	95	847	4
восстанавливаться	5.8	92	91	432	0
восстановить	37.8	100	95	1972	5
восстановиться	3.7	92	92	268	1
восстать	6.6	93	92	387	2
восторгаться	4.1	89	91	253	2
восторжествовать	2.9	86	91	224	0
востребовать	11.9	89	91	892	0
восхвалять	2.0	73	88	134	0
восхитить	3.4	89	92	237	1
восхититься	5.3	87	89	293	3
восхищать	4.1	92	93	283	1
восхищаться	16.7	98	95	800	5
восходить	8.2	95	90	501	0
воткнуть	6.7	88	91	383	0
воткнуться	1.2	52	86	85	0
воцариться	5.6	92	93	349	0
воцаряться	0.8	45	85	59	0
впадать	13.3	99	93	770	0
впаривать	0.6	29	74	42	0
впарить	0.5	30	82	39	0
впасть	11.6	97	94	683	0
впаять	0.8	42	84	54	0
вперить	0.7	42	84	62	0
впериться	0.8	41	85	70	0
впечатать	0.6	38	83	52	0
впечататься	0.5	31	83	38	0
впечатлить	1.5	62	88	128	0
впечатлять	6.7	97	92	510	0
впиваться	3.2	74	90	214	0
вписать	8.0	98	94	572	0
вписаться	5.9	98	93	472	0
вписывать	2.1	80	91	162	0
вписываться	9.5	97	94	679	0
впитать	3.4	94	93	261	0
впитаться	0.9	48	86	66	0
впитывать	4.8	97	95	345	0
впитываться	1.3	50	81	82	0
впиться	6.3	78	89	328	0
впихивать	0.5	35	83	45	0
впихнуть	1.4	62	88	101	0
вплести	1.2	64	89	102	0
вплестись	0.4	26	80	33	0
вплетать	0.6	38	85	49	0
вплетаться	1.3	65	86	94	0
вплывать	0.7	44	85	55	0
вплыть	0.8	37	83	52	0
вползать	1.6	60	88	111	0
вползти	1.2	51	87	97	0
впорхнуть	0.5	27	81	40	0
вправить	1.1	59	88	83	0
вправлять	0.6	37	85	54	0
впрыгнуть	0.8	43	85	60	0
впрыскивать	0.4	24	78	30	0
впрыснуть	0.5	29	82	34	0
впрягаться	0.5	39	86	47	0
впрячь	0.7	42	85	56	0
впрячься	0.7	42	86	53	0
впускать	3.2	84	92	233	0
впустить	7.4	90	92	429	0
впутывать	0.5	35	84	47	0
враждовать	3.6	86	92	244	1
вразумить	1.5	63	87	109	0
вразумлять	0.7	46	87	62	0
врастать	1.0	49	84	82	0
врасти	2.8	79	91	209	0
врать	42.8	97	91	1195	2
врачевать	1.4	62	87	102	0
вращать	4.3	92	91	273	0
вращаться	13.1	98	94	681	1
вредить	5.2	97	94	372	3
врезать	6.2	90	90	319	0
врезаться	12.8	99	93	690	0
врубать	0.5	25	78	39	0
врубаться	1.2	52	85	80	0
врубить	1.5	47	83	92	0
врубиться	1.3	53	87	85	0
вручать	8.5	96	94	533	5
вручаться	2.1	62	76	137	0
вручить	23.9	98	95	1239	3
врываться	6.3	94	93	407	0
врыть	1.2	48	84	82	0
всадить	2.3	59	88	149	0
всаживать	0.7	35	82	55	0
всасывать	1.3	61	89	101	0
всасываться	0.9	43	85	62	0
